_Date,Currently_Hospitalised_Excluding_Post-Recovery,Cumulative_Hospitalized_Excluding_Post-Recovery,Currently_in_ICU_Excluding_Post-Recovery,Cumulative_in_ICU_Excluding_Post-Recovery,OBJECTID
2020/02/10 00:00:00,1,1,,,0
2020/02/11 00:00:00,1,1,,,1
2020/02/12 00:00:00,1,1,,,2
2020/02/13 00:00:00,1,1,,,3
2020/02/14 00:00:00,1,1,,,4
2020/02/15 00:00:00,1,1,,,5
2020/02/16 00:00:00,2,2,,,6
2020/02/17 00:00:00,2,2,,,7
2020/02/18 00:00:00,2,2,,,8
2020/02/19 00:00:00,1,2,,,9
2020/02/20 00:00:00,1,2,,,10
2020/02/21 00:00:00,1,2,,,11
2020/02/22 00:00:00,1,2,,,12
2020/02/23 00:00:00,1,2,,,13
2020/02/24 00:00:00,1,2,,,14
2020/02/25 00:00:00,1,2,,,15
2020/02/26 00:00:00,1,2,,,16
2020/02/27 00:00:00,1,2,,,17
2020/02/28 00:00:00,1,2,,,18
2020/02/29 00:00:00,1,2,,,19
2020/03/01 00:00:00,1,2,,,20
2020/03/02 00:00:00,1,2,,,21
2020/03/03 00:00:00,1,2,,,22
2020/03/04 00:00:00,1,2,,,23
2020/03/05 00:00:00,1,2,,,24
2020/03/06 00:00:00,1,2,,,25
2020/03/07 00:00:00,1,2,,,26
2020/03/08 00:00:00,1,2,,,27
2020/03/09 00:00:00,1,2,,,28
2020/03/10 00:00:00,1,2,,,29
2020/03/11 00:00:00,1,2,,,30
2020/03/12 00:00:00,1,2,,,31
2020/03/13 00:00:00,1,2,,,32
2020/03/14 00:00:00,2,3,,,33
2020/03/15 00:00:00,2,3,,,34
2020/03/16 00:00:00,2,3,,,35
2020/03/17 00:00:00,4,5,,,36
2020/03/18 00:00:00,4,5,,,37
2020/03/19 00:00:00,7,9,,,38
2020/03/20 00:00:00,11,13,1,1,39
2020/03/21 00:00:00,14,16,1,1,40
2020/03/22 00:00:00,14,19,5,5,41
2020/03/23 00:00:00,18,23,5,5,42
2020/03/24 00:00:00,19,24,7,7,43
2020/03/25 00:00:00,23,28,8,8,44
2020/03/26 00:00:00,24,30,8,8,45
2020/03/27 00:00:00,29,35,9,10,46
2020/03/28 00:00:00,29,38,9,11,47
2020/03/29 00:00:00,33,45,8,11,48
2020/03/30 00:00:00,35,49,14,17,49
2020/03/31 00:00:00,37,55,13,18,50
2020/04/01 00:00:00,34,57,15,20,51
2020/04/02 00:00:00,37,63,15,20,52
2020/04/03 00:00:00,38,68,14,20,53
2020/04/04 00:00:00,43,75,14,21,54
2020/04/05 00:00:00,45,77,13,21,55
2020/04/06 00:00:00,46,81,13,21,56
2020/04/07 00:00:00,47,84,14,23,57
2020/04/08 00:00:00,48,89,16,26,58
2020/04/09 00:00:00,49,94,17,27,59
2020/04/10 00:00:00,51,98,16,27,60
2020/04/11 00:00:00,54,103,19,30,61
2020/04/12 00:00:00,50,104,19,30,62
2020/04/13 00:00:00,52,107,20,32,63
2020/04/14 00:00:00,53,112,21,34,64
2020/04/15 00:00:00,50,114,20,34,65
2020/04/16 00:00:00,57,121,16,34,66
2020/04/17 00:00:00,51,121,13,34,67
2020/04/18 00:00:00,47,122,11,34,68
2020/04/19 00:00:00,52,127,15,38,69
2020/04/20 00:00:00,49,129,15,38,70
2020/04/21 00:00:00,47,131,13,38,71
2020/04/22 00:00:00,46,135,11,39,72
2020/04/23 00:00:00,50,139,11,41,73
2020/04/24 00:00:00,49,144,11,41,74
2020/04/25 00:00:00,49,148,10,41,75
2020/04/26 00:00:00,49,152,10,42,76
2020/04/27 00:00:00,55,160,12,46,77
2020/04/28 00:00:00,60,166,14,48,78
2020/04/29 00:00:00,63,172,13,48,79
2020/04/30 00:00:00,57,174,11,48,80
2020/05/01 00:00:00,58,180,12,49,81
2020/05/02 00:00:00,58,183,12,50,82
2020/05/03 00:00:00,54,186,13,51,83
2020/05/04 00:00:00,53,189,13,52,84
2020/05/05 00:00:00,53,191,10,52,85
2020/05/06 00:00:00,52,194,10,53,86
2020/05/07 00:00:00,56,198,10,54,87
2020/05/08 00:00:00,55,202,8,54,88
2020/05/09 00:00:00,55,207,8,54,89
2020/05/10 00:00:00,53,210,6,54,90
2020/05/11 00:00:00,53,211,6,54,91
2020/05/12 00:00:00,55,215,7,55,92
2020/05/13 00:00:00,50,217,8,56,93
2020/05/14 00:00:00,47,218,8,56,94
2020/05/15 00:00:00,45,219,7,56,95
