Date,Cumulative_Cases_by_Episode_Date,Cumulative_Resolved_Cases_by_Episode_Date,Cumulative_Active_Cases_by_Episode_Date,Cumulative_Deaths_by_Date_of_Death,Daily_Cases_by_Reported_Date,7-day_Average_of_Newly_Reported_cases_by_Reported_Date,Daily_Cases_by_Episode_Date,Daily_Cases_Linked_to_a_Community_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_a_School_or_Childcare_Outbreak_by_Episode_Date,Daily_Cases_Linked_to_an_Institutional_Outbreak_by_Episode_Date,Daily_Cases_Not_Linked_to_an_Outbreak_ie_Sporadic_Cases_by_Episode_Date,Cases_Newly_Admitted_to_Hospital,Cases_Currently_in_Hospital,Cases_Currently_in_ICU,"Cumulative_Rate_for_0-9_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_10-19_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_20-29_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_30-39_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_40-49_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_50-59_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_60-69_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_70-79_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_80-89_Years_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_90_Years_and_Over_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Males_per_100,000_pop_by_Episode_Date","Cumulative_Rate_for_Females_per_100,000_pop_by_Episode_Date",Source_of_Infection_is_Close_Contact_by_Episode_Date,Source_of_Infection_is_Missing_by_Episode_Date,Source_of_Infection_is_an_Outbreak_by_Episode_Date,Source_of_Infection_is_Travel_by_Episode_Date,Source_of_Infection_is_Unknown_by_Episode_Date,Sum_of_Non-Institutional_Source_of_Infection_Over_the_Last_14_Days,%_No_Known_Source_for_Cases_with_Non-Institutional_Source_of_Infection_Over_the_Last_14_Days,OBJECTID
2020/02/10,1,,1,,,0,1,0,0,0,1,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,1,0,1,0,0
2020/02/11,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,1
2020/02/12,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,2
2020/02/13,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,3
2020/02/14,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,4
2020/02/15,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,5
2020/02/16,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,6
2020/02/17,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,7
2020/02/18,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,8
2020/02/19,1,,1,,,0,0,0,0,0,0,0,1,0,,,,,,,0.8,,,,,0.2,0,0,0,0,0,1,0,9
2020/02/20,2,,2,,,0,1,0,0,0,1,0,1,0,,,,,,0.7,0.8,,,,0.2,0.2,0,0,0,1,0,2,0,10
2020/02/21,2,,2,,,0,0,0,0,0,0,0,1,0,,,,,,0.7,0.8,,,,0.2,0.2,0,0,0,0,0,2,0,11
2020/02/22,3,,3,,,0,1,0,0,0,1,0,1,0,,,,,,1.4,0.8,,,,0.4,0.2,0,0,0,0,1,3,33.3,12
2020/02/23,4,,4,,,0,1,0,0,0,1,0,1,0,,,,,,1.4,1.7,,,,0.4,0.4,0,0,0,1,0,4,25,13
2020/02/24,5,,5,,,0,1,0,0,0,1,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,1,0,4,25,14
2020/02/25,5,,5,,,0,0,0,0,0,0,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,15
2020/02/26,5,,5,,,0,0,0,0,0,0,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,16
2020/02/27,5,,5,,,0,0,0,0,0,0,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,17
2020/02/28,5,,5,,,0,0,0,0,0,0,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,18
2020/02/29,5,,5,,,0,0,0,0,0,0,0,1,0,,,,0.6,,1.4,1.7,,,,0.4,0.6,0,0,0,0,0,4,25,19
