"jurisdiction","schools_universities","travel_restrictions","public_events","sport","lockdown","social_distancing_encouraged","self_isolating_if_ill"
"Austria",2020-03-14,2020-03-13,2020-03-10,2020-03-15,2020-03-16,2020-03-16,2020-03-16
"Belgium",2020-03-14,2020-03-18,2020-03-12,2020-03-14,2020-03-18,2020-03-14,2020-03-10
"Denmark",2020-03-13,2020-03-13,2020-03-12,2020-03-12,2020-03-18,2020-03-13,2020-03-12
"France",2020-03-14,2020-03-17,2020-03-13,2020-02-13,2020-03-17,2020-03-16,2020-03-16
"Germany",2020-03-14,2020-03-16,2020-03-22,2020-03-13,2020-03-22,2020-03-12,2020-03-06
"Italy",2020-03-05,2020-03-09,2020-03-09,2020-03-09,2020-03-11,2020-03-09,2020-03-09
"Norway",2020-03-13,2020-03-13,2020-03-12,2020-03-13,2020-03-24,2020-03-16,2020-03-15
"Spain",2020-03-13,2020-03-12,2020-03-14,2020-03-13,2020-03-14,2020-03-09,2020-03-14
"Sweden",2020-03-18,2020-03-19,2020-03-12,2020-03-12,2090-03-21,2020-03-16,2020-03-10
"Switzerland",2020-03-14,2020-03-18,2020-03-13,2020-03-16,2020-03-20,2020-03-16,2020-03-02
"United_Kingdom",2020-03-21,2020-03-24,2020-03-24,2020-03-13,2020-03-24,2020-03-16,2020-03-12
"BC",2020-03-17,2020-03-12,2020-03-12,2020-03-12,2020-03-18,2020-03-18,2020-02-25
"AB",2020-03-15,2020-03-12,2020-03-25,2020-03-25,2020-03-27,2020-03-27,2020-03-25
"SK",2020-03-20,2020-03-18,2020-03-26,2020-03-19,2020-03-26,2020-03-20,2020-03-19
"MB",2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-20,2020-03-12,2020-03-12
"ON",2020-03-12,2020-03-13,2020-03-16,2020-03-16,2020-03-17,2020-03-16,2020-03-16
"QC",2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13,2020-03-13
"NB",2020-03-19,2020-03-14,2020-03-19,2020-03-19,2020-03-19,2020-03-19,2020-03-19
"NL",2020-03-16,2020-03-14,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23
"NS",2020-03-15,2020-03-22,2020-03-22,2020-03-17,2020-03-22,2020-03-13,2020-03-13
"PE",2020-03-16,2020-03-13,2020-03-16,2020-03-16,2020-03-16,2020-03-13,2020-03-09
"YK",2020-03-18,2020-03-18,2020-03-18,2020-03-16,2020-03-18,2020-03-18,2020-03-16
"NT",2020-03-16,2020-03-14,2020-03-18,2020-03-18,2020-03-18,2020-03-18,2020-03-18
"NV",2020-03-17,2020-03-13,2020-03-23,2020-03-23,2020-03-23,2020-03-23,2020-03-23
